"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Save for later use.","Save for later use."
"Credit Card Information","Credit Card Information"
"Credit Card Number","Credit Card Number"
"Please, enter valid Credit Card Number","Please, enter valid Credit Card Number"
"Expiration Date","Expiration Date"
"Please, enter valid Expiration Date","Please, enter valid Expiration Date"
"Card Verification Number","Card Verification Number"
"Please, enter valid Card Verification Number","Please, enter valid Card Verification Number"
"What is this?","What is this?"
"Place Order","Place Order"
